IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
840450000C0817,2.25,1.1,0.488,0.691,3.72,1416,438,69.07,55.23,73.09
840570000C0198,,,,,,,,,,
830040000C0302,2.25,1.85,0.561,0.586,2.55,648,352,45.68,7.25,60.8
830210000C0082,1.7,1.0,0.292,0.667,247.0,4940,18,99.64,99.45,99.6
841170000A0022,1.8,0.85,0.451,0.596,1.73,504,298,40.87,0.79,42.06
841220000A0133,2.05,1.15,0.435,0.384,3.71,390,118,69.74,21.28,73.08
131090000A0911,2.1,1.7,0.509,0.392,8.38,1408,215,84.73,61.08,88.07
840300000D0016,2.05,1.2,0.494,0.55,4.29,1097,316,71.19,47.58,76.66
830670000C1766,2.5,1.85,0.529,0.555,3.75,1798,623,65.35,37.6,73.36
07245000AT0073,1.7,1.05,0.441,0.598,1.64,618,378,38.83,0.0,39.16
840370000G0062,1.85,1.15,0.433,0.783,2.57,887,358,59.64,48.48,61.1
83068000CP0031,2.35,0.9,0.494,0.604,1.85,2721,1678,38.33,0.0,46.05
830510000F0736,2.05,1.45,0.47,0.406,15.96,1484,108,92.72,82.08,93.73
840390000F1059,2.0,1.1,0.502,0.582,2.62,734,320,56.4,25.07,61.85
830460000E1996,2.35,1.7,0.576,0.443,6.35,5151,1183,77.03,48.2,84.26
830920000A1105,1.7,0.9,0.406,0.492,1.92,3291,1622,50.71,0.0,47.92
840370000D0019,1.75,1.25,0.424,0.845,1.97,1107,577,47.88,38.3,49.32
840940000C0213,2.25,1.1,0.533,0.505,2.59,1545,752,51.33,3.62,61.36
841370000B0348,2.15,1.15,0.531,0.618,6.75,2078,392,81.14,69.49,85.18
84118000AT0099,1.55,1.25,0.455,0.464,2.32,2754,1283,53.41,0.0,56.9
26345000AV0105,2.2,1.05,0.306,0.743,1.32,1787,1344,24.79,0.0,24.51
07279000AT0016,2.45,1.25,0.562,0.554,5.96,292,67,77.05,58.56,83.22
831080000F0387,2.15,1.05,0.529,0.531,2.37,5908,3153,46.63,0.0,57.87
07168000AC0037,2.4,1.45,0.562,0.511,8.18,1922,333,82.67,66.08,87.77
13001000NP0070,2.5,1.1,0.339,0.706,1.39,7452,5284,29.09,0.0,28.09
840390000D0123,1.9,1.15,0.428,0.674,2.97,398,145,63.57,45.98,66.33
840020000A0662,2.15,1.0,0.516,0.525,2.32,6693,3525,47.33,0.0,56.82
072640000B0139,2.15,1.15,0.538,0.619,3.65,1819,654,64.05,41.95,72.62
13091000AH0049,2.25,1.1,0.544,0.522,2.72,2658,1291,51.43,6.92,63.28
840470000C1626,2.0,1.2,0.51,0.481,2.57,6013,2849,52.62,1.51,61.1
840370000H0339,2.5,0.85,0.306,0.831,1.61,716,393,45.11,33.94,37.85
830040000C0986,2.25,1.9,0.543,0.369,10.63,914,118,87.09,64.99,90.59
84041000AH0105,,,,,,,,,,
26345000AP0280,2.0,1.25,0.531,0.587,3.24,2268,911,59.83,31.53,69.18
83068000AZ0132,2.15,1.15,0.529,0.534,2.36,5094,2758,45.86,0.0,57.6
830190000G2020,2.5,1.25,0.552,0.493,2.81,9350,4511,51.75,2.21,64.36
84028000AK0074,2.1,1.15,0.507,0.692,7.29,1298,216,83.36,75.96,86.29
830490000C1332,2.5,2.15,0.562,0.484,2.96,2051,873,57.44,12.04,66.26
84012000AE0028,2.0,1.25,0.459,0.404,7.34,778,124,84.06,60.54,86.38
841090000C0555,2.25,1.1,0.504,0.694,3.79,477,150,68.55,54.72,73.58
263570000H0549,2.0,1.25,0.52,0.477,4.86,11322,2935,74.08,45.7,79.41
830920000D1377,2.0,0.85,0.476,0.543,1.98,4535,2525,44.32,0.0,49.61
84104000AB0035,2.0,1.25,0.54,0.57,3.14,6488,2658,59.03,28.18,68.19
841260000A0115,1.95,1.1,0.475,0.661,23.16,3914,187,95.22,92.77,95.68
841260000E1722,2.15,1.1,0.492,0.677,1.7,2323,1581,31.94,0.0,41.15
83023000AH0050,2.45,1.4,0.464,0.496,10.08,1411,166,88.24,76.26,90.08
840520000F0606,2.45,1.45,0.57,0.468,3.23,2440,1086,55.49,4.88,69.02
072910000A0575,2.45,1.45,0.578,0.481,3.45,943,397,57.9,12.41,71.05
83016000AM0222,2.15,1.15,0.508,0.532,3.49,3910,1382,64.65,33.58,71.36
84122000AN0025,2.2,1.1,0.506,0.486,2.53,678,334,50.74,0.0,60.47
840020000D0511,2.5,1.45,0.494,0.647,2.82,994,410,58.75,36.22,64.49
830280000L0231,2.2,0.95,0.527,0.549,2.32,2325,1268,45.46,0.73,56.82
841330000C0294,2.35,1.4,0.566,0.487,3.82,943,353,62.57,23.12,73.81
26345000BH0008,2.0,1.2,0.484,0.702,11.14,958,92,90.4,86.33,91.02
831340000E0537,2.35,1.25,0.527,0.538,22.52,4414,240,94.56,89.9,95.56
841260000F2007,2.15,1.15,0.531,0.583,4.34,2070,597,71.16,50.53,76.96
840290000D0678,2.0,1.25,0.537,0.694,5.08,2896,721,75.1,64.12,80.32
841330000F1012,2.25,1.45,0.584,0.565,4.12,1610,588,63.48,35.34,75.71
84129000BS0008,1.85,1.15,0.483,0.699,11.59,3951,381,90.36,86.21,91.37
840300000E1555,2.0,1.25,0.547,0.609,4.18,1069,346,67.63,46.87,76.05
84024000AC0061,,,,,,,,,,
831000000E1111,1.6,1.1,0.428,0.443,2.31,2046,904,55.82,0.2,56.7
840960000B0350,2.25,1.05,0.46,0.532,39.59,4672,116,97.52,95.33,97.47
