IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
13082000BS0011,2.4,2.05,0.605,0.437,2.47,970,248,74.43,41.44,59.48
830730000A1013,2.2,1.65,0.421,0.525,45.62,1688,21,98.76,97.63,97.81
84141000BA0079,2.2,1.4,0.424,0.644,1.58,115,67,41.74,9.57,36.52
13056000DM0122,2.45,1.9,0.581,0.516,1.33,527,278,47.25,0.0,24.67
841130000B0084,2.45,1.35,0.527,0.422,2.0,3321,1302,60.79,7.02,49.95
073130000B0454,1.85,1.95,0.529,0.453,1.67,904,384,57.52,6.19,40.27
84106000AT0005,2.1,1.4,0.363,0.769,3.07,965,233,75.85,68.6,67.46
071690000B0722,2.4,2.15,0.576,0.317,2.22,2180,678,68.9,1.93,55.0
841220000H0034,2.2,1.35,0.53,0.515,2.34,2617,846,67.67,37.18,57.28
84082000AX0187,,,,,,,,,,
13079000AL0032,2.2,2.05,0.616,0.456,1.46,1723,675,60.82,14.1,31.46
841110000B0495,2.5,1.35,0.513,0.512,3.44,241,62,74.27,49.79,70.95
070890000C0226,2.2,2.0,0.522,0.434,1.96,141,56,60.28,8.51,48.94
84086000AR0017,2.35,1.35,0.466,0.519,1.93,29,14,51.72,6.9,48.28
841220000A0247,2.15,1.35,0.397,0.687,4.82,3646,561,84.61,77.59,79.24
261820000B0228,2.35,1.2,0.306,0.911,3.05,430,112,73.95,71.4,67.21
13079000AL0169,1.9,1.85,0.551,0.471,1.33,1654,781,52.78,0.0,24.97
830690000D2667,1.35,1.75,0.459,0.454,1.63,18089,8224,54.54,0.0,38.47
073120000C0439,1.35,1.25,0.385,0.511,1.38,1724,899,47.85,0.0,27.55
26220000AC0013,2.55,1.4,0.464,0.687,1.34,2127,1261,40.71,13.68,25.48
070130000C0654,2.25,1.8,0.496,0.7,4.3,142,28,80.28,71.83,76.76
13072000AY0281,2.3,2.15,0.592,0.366,1.57,7462,2710,63.68,0.79,36.34
840490000D0718,2.15,1.65,0.539,0.419,2.62,4585,1175,74.37,38.78,61.77
841360000A0710,2.1,1.15,0.364,0.634,1.68,196,92,53.06,26.02,40.31
83136000AO0077,,,,,,,,,,
26367000AI0149,2.05,1.4,0.421,0.5,12.74,879,50,94.31,88.62,92.15
83027000AH0083,2.45,2.0,0.549,0.401,3.74,891,139,84.4,61.05,73.29
830120000K0002,2.5,1.85,0.522,0.403,16.35,2845,96,96.63,91.63,93.88
84034000AA0119,2.0,1.4,0.528,0.517,1.57,969,485,49.95,3.2,36.33
26071000ZA0104,2.25,2.05,0.599,0.467,1.38,10654,4721,55.69,5.16,27.4
070150000C0523,2.0,1.3,0.524,0.514,1.59,2573,1361,47.1,0.0,37.04
131150000B0215,,,,,,,,,,
841380000Q0311,2.5,1.35,0.498,0.551,5.81,912,113,87.61,77.52,82.79
84004000AZ0026,2.1,1.25,0.511,0.496,2.42,2500,842,66.32,32.04,58.64
84031000BC0172,2.25,1.65,0.544,0.424,1.77,1763,745,57.74,0.34,43.62
263480000E0362,2.4,1.3,0.476,0.493,8.23,675,69,89.78,79.26,87.85
841220000A0953,1.85,1.3,0.451,0.621,16.42,3119,144,95.38,92.56,93.91
83096000AB0130,1.95,2.1,0.477,0.354,17.22,1464,56,96.17,89.21,94.19
83136000AL0010,2.35,1.95,0.589,0.423,1.48,1419,597,57.93,0.42,32.21
840780000C0185,2.35,1.4,0.5,0.505,2.69,605,162,73.22,46.94,62.81
262330000B0468,2.35,1.4,0.538,0.512,1.55,1150,580,49.57,1.57,35.3
26317000AI0091,2.0,1.35,0.53,0.491,1.6,726,374,48.48,0.0,37.47
830510000E0969,2.3,2.05,0.553,0.534,10.43,1836,78,95.75,92.05,90.41
072450000D0422,2.0,1.15,0.478,0.518,1.75,257,133,48.25,0.0,42.8
84102000AR0014,1.6,1.55,0.432,0.463,32.03,6822,101,98.52,96.8,96.88
13050000BW0141,2.55,1.95,0.426,0.737,3.3,201,56,72.14,62.19,69.65
84072000CE0036,2.25,1.65,0.4,0.64,4.94,1676,244,85.44,77.27,79.77
830910000E0878,2.4,2.05,0.555,0.514,3.97,2998,508,83.06,67.04,74.78
840190000H0957,2.35,1.4,0.471,0.641,9.35,2440,177,92.75,88.69,89.3
84012000AB0124,2.5,1.05,0.443,0.454,11.74,1879,137,92.71,83.93,91.48
840370000D0423,2.1,1.4,0.45,0.589,4.56,328,53,83.84,72.56,78.05
07245000AI0132,,,,,,,,,,
841370000A0643,1.85,1.4,0.426,0.534,14.16,963,47,95.12,90.86,92.94
13037000AI0032,2.35,2.1,0.589,0.417,2.05,495,149,69.9,27.88,51.31
840960000B1066,2.1,1.4,0.54,0.543,1.85,1854,750,59.55,25.57,45.9
83023000BY0041,1.4,1.4,0.404,0.433,1.59,23392,10152,56.6,0.0,37.1
840190000D1429,2.1,1.4,0.539,0.511,1.45,2718,1409,48.16,0.0,31.02
070990000F1155,2.1,1.65,0.468,0.729,1.82,3203,1330,58.48,43.05,44.96
07264000AW0048,2.5,1.4,0.379,0.815,2.16,1065,370,65.26,57.37,53.71
13082000CK0059,2.05,2.0,0.614,0.466,1.49,1795,756,57.88,9.64,33.04
840300000D0455,1.9,1.4,0.416,0.578,11.3,610,37,93.93,89.51,91.15
13110000BE0022,2.6,2.0,0.61,0.444,1.63,971,337,65.29,21.83,38.52
830790000A1229,2.3,2.05,0.594,0.447,2.0,926,298,67.82,27.97,50.11
26367000AL0057,2.25,1.4,0.504,0.416,3.66,7070,1297,81.65,55.93,72.69
840420000C0492,2.5,1.35,0.444,0.598,2.23,1270,457,64.02,39.84,55.12
84028000AO0142,1.55,1.2,0.269,0.55,20.81,333,11,96.7,93.99,95.2
84032000AP0018,2.5,1.3,0.325,0.368,31.79,604,14,97.68,93.71,96.85
